literally  ad.字面地，逐字地；确实地，毫不夸张地
fossil  n.化石
grope  vi.(暗中)摸索，探索
deport  vt. 持,举止,驱逐
mob  n.乌合之众(尤指暴力者) vi.围攻，聚众闹事
initiate  vt.开始，创始；启蒙，使入门；引入
degrade  vt.使降给；使堕落
lace  n.饰边；鞋带 v.系带；搀酒于(饮料)
meadow  n.草地，牧草地
apparatus  n.装置，器械；器具，设备
quest  v./n.探索，寻找，追求
cemetery  n.坟墓，墓地，坟场
circulation  n.循环；流通，传播；(报纸，书刊的)销售量
quest  v./n.探索，寻找，追求
lure  n.引诱物，诱惑力 vt.引诱，诱惑
exotic  a.奇异的，异国情调的
hinge  n.合页，折叶，铰链
notable  a.值得(或引人)注意的；著名的 n.名人
isle  n.岛
porch  n.门廊
